id,name,country,created_at
1,China,China,2026-02-24 16:22:17.791542
2,Japan,Japan,2026-02-24 16:22:22.767982
3,Mongolia,Mongolia,2026-02-24 16:22:27.431013
4,South Korea,South Korea,2026-02-24 16:22:32.770682
5,Taiwan,Taiwan,2026-02-24 16:22:37.344626
6,Vietnam,Vietnam,2026-02-24 16:22:41.392513
7,Cambodia,Cambodia,2026-02-24 16:22:46.918158
8,Myanmar,Myanmar,2026-02-24 16:22:52.761465
9,Laos,Laos,2026-02-24 16:22:56.986745
10,Malaysia,Malaysia,2026-02-24 16:23:01.232738
11,Thailand,Thailand,2026-02-24 16:23:04.946148
12,Indonesia,Indonesia,2026-02-24 16:23:09.889831
13,philippines,philippines,2026-02-24 16:23:15.460774
14,Singapore,Singapore,2026-02-24 16:23:21.056743
15,India,India,2026-02-24 16:23:25.955663
16,Sri Lanka,Sri Lanka,2026-02-24 16:23:29.926052
17,Maldives,Maldives,2026-02-24 16:23:37.698098
18,Bhutan,Bhutan,2026-02-24 16:23:43.331775
19,Nepal,Nepal,2026-02-24 16:23:49.946466
20,Armenia,Armenia,2026-02-24 16:23:54.747422
21,Azerbaijan,Azerbaijan,2026-02-24 16:23:59.478117
22,Georgia,Georgia,2026-02-24 16:24:04.878134
23,kazakhstan,kazakhstan,2026-02-24 16:24:08.623707
24,Kyrgyzstan,Kyrgyzstan,2026-02-24 16:24:15.234801
25,Tajikistan,Tajikistan,2026-02-24 16:24:20.37743
26,turkmenistan,turkmenistan,2026-02-24 16:24:25.584803
27,Uzbekistan,Uzbekistan,2026-02-24 16:24:30.534853
28,Botswana,Botswana,2026-02-24 16:24:36.65041
29,Kenya,Kenya,2026-02-24 16:24:41.89811
30,Madagascar,Madagascar,2026-02-24 16:24:47.080988
31,Morocco,Morocco,2026-02-24 16:24:51.782086
32,Namibia,Namibia,2026-02-24 16:24:59.228902
33,Rwanda,Rwanda,2026-02-24 16:25:04.255107
34,South Africa,South Africa,2026-02-24 16:25:09.234255
35,tanzania,tanzania,2026-02-24 16:25:13.434476
36,Uganda,Uganda,2026-02-24 16:25:18.375918
37,zimbabwe,zimbabwe,2026-02-24 16:25:24.383222
38,abu dhabi,abu dhabi,2026-02-24 16:25:29.32442
39,Dubai,Dubai,2026-02-24 16:25:33.2685
40,Egypt,Egypt,2026-02-24 16:25:37.729366
41,Israel,Israel,2026-02-24 16:25:42.345865
42,Jordan,Jordan,2026-02-24 16:25:49.896077
43,qatar,qatar,2026-02-24 16:25:54.143038
44,saudi arabia,saudi arabia,2026-02-24 16:25:58.400843
45,chile,chile,2026-02-24 16:26:03.372117
46,peru,peru,2026-02-24 16:26:08.30975
47,Costa Rica,Costa Rica,2026-02-24 16:26:13.359251
48,Colombia,Colombia,2026-02-24 16:26:17.441366
49,Ecuador,Ecuador,2026-02-24 16:26:21.804133
50,Argentina,Argentina,2026-02-24 16:26:26.462653
51,Brazil,Brazil,2026-02-24 16:26:30.532517
52,Bolivia,Bolivia,2026-02-24 16:26:38.699417
53,uruguay,uruguay,2026-02-24 16:26:44.600407
54,Antarctica,Antarctica,2026-02-24 16:26:48.810923
55,Mexico,Mexico,2026-02-24 16:26:54.093498
56,USA,USA,2026-02-24 16:26:57.730755
57,Italy,Italy,2026-02-24 16:30:51.434579
58,Spain,Spain,2026-02-26 12:56:33.867725
